Organization,Website,Address,Description,Category,Phone,Email,Picture,Video
Abbot Kinney Memorial Library,http://www.lapl.org/branches/venice,501 S. Venice Blvd.,,Arts and Education,310.821.1769,,,
A Window Between Worlds,http://www.awbw.org,"710 4th Ave., Ste. 5","A nonprofit organization dedicated to using art to help end domestic violence.- Through creative expression, battered women and children gain a sense of renewal and power.",Domestic Violence,310.396.0317,info@awbw.org,,
Angels at Risk,http://www.angelsatrisk.com,115 Barrington Walk,"A non-profit organization dedicated to helping teenagers and their families at risk for drug and alcohol abuse.  Angels at Risk believes that when the issue of addiction is addressed very early on in life that the future of teenagers, kids and their families can be changed forever.  We know that by embracing the teenagerÕs struggle that the entire family is given the gift to heal and grow together. ",Substance Abuse,310.457.1421,angelsatrisk.sas@gmail.com,,
Beyond Baroque,http://www.beyondbaroque.org,681 Venice Blvd.,"Literary/Arts Center is is located in our old Venice City Hall, built 1906. The Center offers an extensive program of public readings, free workshops, a project room, bookstore, publications, and chapbook/small press archive. During our nearly forty years in Venice, we have nurtured and presented many of the best writers, artists, and poets from the West Coast, around the country, and world. The Center is unique for its combined range of activities, constantly moving back and forth between the underground and the literary and artistic establishments.",Arts and Education,310.822.3006,beyondbaroque@gmail.com,,
Boys & Girls Club of Venice,http://www.bgcv.org,2232 Lincoln Blvd.,"To enable all young people, especially those who need us most, to reach their full potential as productive, caring, responsible citizens.",Arts and Education,310.390.4477,,,
Electric Lodge,http://www.electriclodge.org,1416 Electric Ave.,"A laboratory for artists and environmentalists. We engage our community through the visual and performing arts, innovative classes, programs and seminars, providing experiential contexts and opportunities for dialogue. The Electric Lodge is a torch bearer in the effort to stimulate public understanding and support for the creation of a sustainable worldwide eco-system.",Arts and Education,310.306.1854,,,
Food Not Bombs,http://www.foodnotbombs.wetnostril.net,,We Protest War & Serve Healthy Vegetarian Food to the Hungry,Low-Income Support,,,,
Harvest Home,http://www.theharvesthome.net,2118 Wilshire Blvd.,"Provides shelter and assistance to homeless pregnant women. As a full-programmed residential home, we  equip our residents with the knowledge to make healthier life decisions; cultivate their parenting skills; and increase employability through education.  Our ultimate goal is that each woman will leave the home spiritually strong, with a new-found sense of self-worth, and better prepared to support and care for herself and her child. Harvest Home is where new lives begin.",Low-Income Support,310.452.1223,info@theharvesthome.net,,
Heal the Bay,http://www.healthebay.org,1444 9th St.,"Heal the Bay is a nonprofit environmental organization dedicated to making Southern California coastal waters and watersheds, including Santa Monica Bay, safe, healthy and clean. We use research, education, community action and advocacy to pursue our mission.",Environmental,310.451.1500,,,
Inside/Out Community Arts,http://www.InsideOutCA.org,608 Venice Blvd.,"Through visual and performing arts workshops, performances and festivals, our missionis to give youth from all backgrounds the tools, confidence and inspiration to make a positive difference in their communities and the worldÉfrom the inside out.",Arts and Education,310.397.8820,insideoutca@insideoutca.org,,
Israel Levin Center,,201 Ocean Front Walk,Meals and other forms of help for Jewish Seniors.,Senior Aid,310.396.0205,,,
Latino Resource Organization,http://www.latinoresource.org,610 California Ave.,"Provides advocacy, family life education, HIV/AIDS services, information and referral, substance abuse services and youth services.",Low-Income Support,310.578.6069,info@latinoresource.org,,
Mildred Cursh Foundation,http://www.mildredcurshfoundation.com/,610 California Ave.,"Support for the families of prisoners and mentoring for their children who are living in difficult conditions. We provide after-school tutoring, food distributions, summer events, and educational events.",Low-Income Support,,,,
Neighborhood Youth Association,http://nyayouth.wordpress.com/,1016 Pleasant View Ave.,"To enable at-risk children and youth to achieve their personal best, by providing a comprehensive set of educational enhancement services, academic support, counseling, career planning, and cultural enrichment activities in a sustained, focused manner during their elementary through high school years.",Arts and Education,310.664.8893,,,
Oakwood Recreation Center,http://www.laparks.org/dos/reccenter/facility/oakwoodRC.htm,767 California St.,"Oakwood Recreation Center strives to bring community to the community by positively impacting the entire family through enrichment activities, sports and camps.",Arts and Education,310.452.7479,oakwood.recreationcenter@lacity.org,,
Pacific Resident Theatre,http://www.pacificresidenttheatre.com,703 Venice Blvd.,"Based in Venice, California, Pacific Resident Theatre is a company founded by actors and dedicated to producing the classics, rarely performed plays, and the works of new writers.",Arts and Education,310.301.3971,prtboxoffice@earthlink.net,,
Phoenix House,http://www.phoenixhouse.org/locations/california/phoenix-house-venice/,503 Ocean Front Walk,"Phoenix House in Venice offers comprehensive residential treatment to those who are trying to break the cycle of substance abuse. Group therapy, individual counseling, and a variety of services are offered to those who are striving to overcome addiction, reunite with family and achieve economic independence. - See more at: http://www.phoenixhouse.org/locations/california/phoenix-house-venice/#sthash.hnL5dStu.dpuf",Substance Abuse,877.769.9698,cmora@phoenixhouse.org,,
Social and Public Art Resource Center,http://www.sparcmurals.org,685 N. Venice Blvd.,"An arts center that produces, preserves and conducts educational programs and community based public art works.",Arts and Education,310.822.9560,info@sparcinla.org,,
